treatment_medication	treatment_medication_code
abilify 5mg tablet	1141202024
amisulpride	1141153490
aripiprazole	1141195974
benperidol	1140867078
camcolit 250 tablet	1140867494
carbagen sr 200mg m/r tablet	1141171566
carbamazepine	2038459704
carbamazepine product	1140872064
chlorpromazine	1140879658
clopixol 2mg tablet	1140867342
clozapine	1140867420
clozaril 25mg tablet	1140882320
convulex 150mg e/c capsule	1140872216
cpz - chlorpromazine	1140910358
denzapine 25mg tablet	1141200458
depakote 250mg e/c tablet	1141172838
dolmatil 200mg tablet	1140867306
dozic 1mg/ml oral liquid	1140867180
epilim 100mg crushable tablet	1140872200
fentazin 2mg tablet	1140867210
fluphenazine decanoate	1140867398
fluphenazine	1140882098
haldol 5mg tablet	1140867184
haloperidol	1140867168
largactil 10mg tablet	1140863416
levomepromazine	1140909802
liskonum 450mg m/r tablet	1140867498
lithium product	1140867490
lithonate 400mg m/r tablet	1140910976
methotrimeprazine	1140867118
modecate 12.5mg/0.5ml oily injection	1140867456
olanzapine	1140928916
orlept 200mg e/c tablet	1140872268
pericyazine	1140867134
perphenazine	1140867208
pimozide	1140867218
piportil depot 50mg/1ml oily injection	1140867572
pipothiazine	1140879674
pipotiazine	1140909804
priadel 200mg m/r tablet	1140867504
prochlorperazine	1140868170
promazine	1140879746
quetiapine	1141152848
risperdal 0.5mg tablet	1141177762
risperidone	1140867444
serenace 500micrograms capsule	1140867092
seroquel 25mg tablet	1141152860
sodium valproate	1140872198
stelazine 1mg tablet	1140867244
stemetil 5mg tablet	1140868172
sulpiride	1140867304
tegretol 100mg tablet	1140872072
thioridazine	1140879750
trifluoperazine	1140868120
valproic acid	1140872214
zaponex 25mg tablet	1141201792
zuclopenthixol	1140882100
zyprexa 2.5mg tablet	1141167976
